Key,English,German,Swedish,Lithuanian,Latvian
GuidedMode,Scenario 1 guided mode,Gesteuerter Modus,Guidat läge,Mokomasis režimas,Apmācības režīms
UnguidedMode,Scenario 1 exam mode,Szenario 1 Prüfungsmodus,Scenario 1 examensläge,Laisvas režimas,1. scenārija eksāmena režīms
Tutorial,Tutorial,Tutorial,Tutorial,"Mokomoji priemonė, pamoka",Pamācība
Options,Options,Optionen,Inställningar,Galimybės,Opcijas
Exit,Exit,Verlassen,Utgång,išėjimas,Iziet
DialogueVolume,Dialogue volume,Dialoglautstärke,Dialogvolym,Dialogo apimtis,Dialoga skaļums
SoundsVolume,Sounds volume,Klänglautstärke,Ljudvolym,Garso stiprumas,Skaņu skaļums
LanguageSettings,Language,Sprache,Språk,Kalba,Izvēlieties valodu
English,English,Englisch,Engelska,Anglų,Angļu
German,German,Deutsch,Tyska,Vokiečių,Vācu
Lithuanian,Lithuanian,Litauisch,Litauiska,Lietuvių,Lietuviešu
Latvian,Latvian,Lettisch,Lettisk,Latvių,Latviešu
Swedish,Swedish,Schwedisch,Svenska,Švedų,Zviedru
LocomotionSettings,Select movement type,Fortbewegungsart,Välj rörelsetyp,pasirinkite judėjimo tipą,Kustības tips
Teleport,Teleportation,Fortbewegung durch Teleportation (Beamen),Teleportering,Teleportacija,Teleportācija
Smooth,Smooth,gleichmäßig,Mjuk,"sklandus, vienodas",Līdzena
Mixed,Mixed,Gemischt,Blandad,Mišrus,Jaukts
Continue,Continue,Fortsetzen,Fortsätt,Tęsti,Turpināt
Restart,Restart,Neu starten,Börja om,Perkrauti,Restartēt
Menu,To menu,Zum Menü,Till menyn,Į meniu,Uz izvēlni
GenderSettings,Select gender,Geschlecht,Välj kön,Pasirinkite lytį,Izvēlieties dzimumu
GenderFemale,Female,Weiblich,Kvinna,Moteris,Sieviete
GenderMale,Male,Männlich,Man,Vyras,Vīrietis
GenderDivers,,Divers,,,Cits
WalkingSpeed,Walking speed,Schrittgeschwindigkeit,Gånghastighet,Ėjimo greitis,Pārvietošanās ātrums
MusicVolume,Music volume,Musiklautstärke,Musikvolym,Muzikos apimtis,Mūzikas skaļums
Start,Start,Start,Start,Pradėti,Sākt
DescriptionNeutral,"There are 3 movement types in DTNET application: teleportation, smooth movement and mixed. You can try all of them in the tutorial. ","In der DTNET-Anwendung gibt es drei Fortbewegungsarten: Fortbewegung durch Teleportatation, gleichmäßige Bewegung und gemischt. Du kannst alle drei im Tutorial testen. ","Det finns tre rörelsetyper i DTNet -applikation: teleportering, smidig rörelse och blandad. Du kan prova dem alla i handledning.","  DTNET programoje yra 3 judėjimo tipai: teleportacija, sklandus judėjimas ir mišrus judėjimas. Visus juos galite išbandyti pamokoje. ","DTNET lietojumprogrammā ir 3 kustību veidi: teleportācija, vienmērīga kustība un jaukts. Jūs varat izmēģināt tos visus apmācībā."
DescriptionTeleportation,Point at a certain location you would like to move to and push the stick on your movement hand's controller,Zeige auf eine bestimmte Stelle zu der du dich hinbewegen möchtest und drücke anschließend den Stick auf dem Controller mit dem du dich forbewegen möchtest.,Peka på en viss plats som du vill flytta till och trycka på pinnen på din rörelsens kontrollenhet,"Nusitaikykite į tam tikrą vietą, į kurią norite persikelti, ir paspauskite judesio rankos valdiklio lazdelę.","Norādiet uz noteiktu vietu, uz kuru vēlaties teleportēties un nospiediet kursorsviru uz jūsu kustības rokas kontroliera"
DescriptionSmooth,Use the stick on a movement hand's controller to walk.,Verwende den Stick auf dem Controller mit dem du dich fortbewegen möchtest um zu gehen.,Använd pinnen på en rörelsehands styrenhet för att gå.,"Norint vaikščioti, naudokite judesio rankos valdiklio lazdelę.","Izmantojiet kursorsviru uz kustības rokas kontroliera, lai staigātu. Nospiediet to, lai teleportētos uz vietu, uz kuru norādāt."
DescriptionMixed,Use the stick on a movement hand's controller to walk. Press on it to teleport to a location you are pointing to.,"Verwende den Stick auf dem Controller mit dem du dich fortbewegen möchtest, um zu gehen. Drücke drauf, um dich zu einem Ort zu teleportieren, auf dem du zeigst.",Använd pinnen på en rörelsehands styrenhet för att gå. Tryck på den för att teleportera till en plats du pekar på.,"Norėdami vaikščioti, naudokite judesio rankos valdiklio lazdelę. Paspauskite ją, kad teleportuotumėtės į vietą, į kurią rodote.","Izmantojiet kursorsviru uz kustības rokas kontroliera, lai staigātu. Nospiediet to, lai teleportētos uz vietu, uz kuru norādāt."
AlreadyToldYou,As I've already told you!,Wie ich es Ihnen bereits gesagt habe!,Som jag redan har sagt till dig!,Kaip jau tau sakiau!,Kā es Jums jau teicu!
TakingTooLong,Ehm... Hello?,Ehm ... Hallo?,Ehm ... hej?,Ehm ... Sveiki?,Ehm... Sveiki?
Left,Left,Links,Vänster,Kairėje,Atstāts
Right,Right,Rechts,Höger,Dešinėje,Pa labi
LocomotionSettingsHand,Select movement hand,Fortbewegungshand,Välj rörelsehand,Pasirinkite judesio ranką,Atlasiet kustības roku
Assistant,Doctor's assistant,Arzthelfer,Doktorsassistent,Gydytojo padėjėjas,Ārsta palīgs
Nurse,Nurse,Krankenschwester,Sjuksköterska,Slaugytoja,Barot
DetailedReport,Detailed report,Ausführlicher Bericht,Detaljerad rapport,Išsami ataskaita,Detalizēts ziņojums
UnnecessaryQuestions,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard.",Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Behandlung könnten diesbezüglich weitere Gespräche geführt werden.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende.,Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu.,Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas.
ReportTip,Clicking on a question will give you a more thorough feedback on it.,"Wenn du auf eine Frage klickst, erhälst du ein gründlicheres Feedback dazu.",Om du klickar på en fråga ger du en mer grundlig feedback på det.,"Spustelėjus klausimą, gausite išsamesnį atsiliepimą apie jį.","Noklikšķinot uz jautājuma, jums tiks sniegta rūpīgāka atgriezeniskā saite."
GoodQuestionsAsked,Your good questions:,Deine guten Fragen:,Dina bra frågor:,Jūsų geri klausimai:,Jūsu labie jautājumi:
GoodQuestionsMissed,You should have also asked:,Du hättest auch fragen sollen:,Du borde också ha frågat:,Jūs taip pat turėtumėte paklausti:,Jums arī vajadzēja jautāt:
ToReport,To report,Etwas melden,Att rapportera,Pranešti apie,Ziņot
Scenario2,Scenario 2,Szenario 2,Scenario 2,2 scenarijus,2. scenārijs
QuestionsLeft,Questions left:,Fragen übrig:,Frågor kvar:,Liko klausimai:,Atlikušie jautājumi:
Yes,Yes,Ja,Ja,Taip,Jā
No,No,NEIN,Nej,Ne,Nē
BeforeStartScenario1,Have you played through the Tutorial and Guided Mode and feeling confident in understanding the tasks? If not we recommend that you complete the Tutorial and play through Guided Mode until you feel confident,"Haben Sie das Tutorial und den geführten Modus durchgespielt und fühlen sich sicher, die Aufgaben zu verstehen? Wenn nicht, empfehlen wir Ihnen, das Tutorial abzuschließen und den geführten Modus zu spielen, bis Sie sich sicher fühlen",Har du spelat genom handledning och guidat läge och känner dig säker på att förstå uppgifterna? Om inte rekommenderar vi att du slutför handledning och spelar genom guidat läge tills du känner dig säker,"Ar žaidėte per vadovą ir vadovaujamą režimą ir jaučiatės užtikrintai suprantant užduotis? Jei ne, mes rekomenduojame baigti mokymo programą ir žaisti per valdomą režimą, kol pasijusite užtikrintai","Vai esat spēlējis caur apmācību un vadītu režīmu un jūtaties pārliecināts par uzdevumu izpratni? Ja nē, mēs iesakām pabeigt apmācību un spēlēt, izmantojot vadītu režīmu, līdz jūtaties pārliecināts"
