Key,English,German,Swedish,Lithuanian,Latvian
TakeTablet,Take this task list tablet,Nehmen Sie dieses Tasklist -Tablet,Ta den här uppgiftslistans surfplatta,Paimkite šį užduočių sąrašo planšetinį kompiuterį,Paņemiet šo uzdevumu saraksta planšetdatoru
WashHands,Wash your hands,Wasche deine Hände,Tvätta händerna,Nusiplauk savo rankas,Nomazgā rokas
PutGlovesOn,Put the gloves on,Ziehe die Handschuhe an,Ta på sig handskarna,Uždėti pirštines,Uzlieciet cimdus
ConnectTheMonitor,Connect the monitor sensors to your patient,Schließe die Monitorsensoren an den Patienten an,Anslut bildskärmssensorerna till din patient,Prijunkite monitoriaus jutiklius prie savo paciento,Pievienojiet monitora sensorus savam pacientam
FillObservationSheet,Fill out the observation sheet,Fülle das Beobachtungsblatt aus,Fyll i observationsarket,Užpildykite stebėjimo lapą,Aizpildiet novērošanas lapu
Appointments,Read the doctor's appointments,Lies die Termine des Arztes,Läs läkarnas möten,Perskaitykite gydytojo paskyrimus,Izlasiet ārsta tikšanās
DiluteDopamine,"Take a syringe and dilute 20ml
Dopamine with 50ml Solanine",Nehme eine Spritze und verdünne 20ml Dopamin mit 50ml Solanine,"Ta en spruta och utspädd 20 ml
Dopamin med 50 ml solanin","Paimkite švirkštą ir praskieskite 20 ml
Dopaminas su 50 ml solanino","Paņemiet šļirci un atšķaidiet 20 ml
Dopamīns ar 50 ml solanīna"
ConnectThePump,Put the syringe and connect the perfusion pump,Setze die Spritze ein und verbinde mit einer Perfusionspumpe,Lägg sprutan och anslut perfusionspumpen,Įdėkite švirkštą ir prijunkite perfuzijos siurblį,Ielieciet šļirci un pievienojiet perfūzijas sūkni
Injection,Set the pace to 7 ml/h and make an injection,Setze das Tempo auf 7 ml/h und mache eine Injektion,Ställ in takten till 7 ml/h och gör en injektion,Nustatykite tempą iki 7 ml/h ir atlikite injekciją,Iestatiet tempu uz 7 ml/h un veiciet injekciju
AlarmButton,Push the alarm button,Drücke den Alarmknopf,Tryck på larmknappen,Paspauskite aliarmo mygtuką,Nospiediet trauksmes pogu
CallDoctor,Call the doctor,Ruf den Arzt,Ring doktorn,Paskambinkite gydytojui,Zvaniet ārstam
StimPads,"Apply the stim pads
to your patient","Trage die Stimulationspads
an den Patienten auf","Applicera stimulen
till din patient","Taikykite Stimi
savo pacientui","Uzklājiet stimulus
savam pacientam"
RepositionThePatient,Reposition the patient,Positioniere den Patienten um,Omplacera patienten,Perkelkite pacientą,Pārvietojiet pacientu
ReportSpO2,Report SpO2,Melde SPO2,Rapportera SPO2,Pranešimas Spo2,Ziņot par spo2
KeepRegulating,"Keep regulating the pace and output
Hint: 90 mA / 60 PPM","Reguliere weiterhin das Tempo und den Output
Hinweis: 90 mA / 60 ppm","Fortsätt reglera takten och produktionen
Tips: 90 mA / 60 ppm","Tęskite reguliavimą tempą ir išvestį
Užuomina: 90 Ma / 60 ppm","Turpiniet regulēt tempu un izvadi
Padoms: 90 mA / 60 ppm"
GoToThePatient,Go to the patient,Gehe zum Patienten,Gå till patienten,Eik pas pacientą,Iet pie pacienta
Volume,Volume,Volumen,Volym,Tūris,Tilpums
TakeObsSheet,"Give the observation sheet to 
the doctor","Gib das Beobachtungsblatt dem
Doktor","Ge observationsarket till
doktorn","Duoti stebėjimo lapą
gydytojas","Dodiet novērošanas lapu
ārsts"
CongratsGuided,"Congratulations! [newline]
You have completed the guided mode! 
[newline] [newline]
Use the experience you've gained to complete the exam mode!","Herzliche Glückwünsche! [Neue Zeile]
Der geführte Modus ist abgeschlossen!
[Newline] [Newline]
Nutze die Erfahrung, die du gesammelt hast um in den Prüfungsmodus zu gehen!","Grattis! [ny linje]
Du har slutfört det guidade läget!
[Newline] [Newline]
Använd den erfarenhet du har fått för att slutföra examensläget!","Sveikiname! [nauja linija]
Jūs baigėte vadovaujamą režimą!
[Newline] [Newline]
Pasinaudokite patirtimi, kad įgytumėte egzamino režimą!","Apsveicam! [Newline]
Jūs esat pabeidzis vadīto režīmu!
[Newline] [Newline]
Izmantojiet iegūto pieredzi, lai pabeigtu eksāmena režīmu!"
InjectionTablet,Make an injection,Eine Injektion machen,Göra en injektion,Atlikti injekciją,Veikt injekciju
