Tag,EnglishText,EnglishShort,EnglishAnswer,EnglishAsked,EnglishMissed,MoodChanges,AnimationType,PrerequisiteTag,Topic,InfoTag,Relavance,GermanText,GermanShort,GermanAnswer,GermanAsked,GermanMissed,SwedishText,SwedishShort,SwedishAnswer,SwedishAsked,SwedishMissed,LithuanianText,LithuanianShort,LithuanianAnswer,LithuanianAsked,LithuanianMissed,LatvianText,LatvianShort,LatvianAnswer,LatvianAsked,LatvianMissed
introduction,"Hello, my name is Marite. I am your nurse. What's your name?",What's your name?,"Hello, I’m Mr. Johnson. Robert Johnson. Call me Robert. ",The beginning of the anamnesis interview was very good - it is important to know the name of the person in front of you.,The nurse needs to know the name of the patient. So every anamnesis conversation starts by asking for the person's name.,1,HappyOkay,,introduction,introduction,1,"Hallo, mein Name ist Meeres. Ich bin deine Krankenschwester. Wie heißen Sie?",Wie heißen Sie?,"Hallo, ich bin Mr. Johnson. Robert Johnson. Nenn mich Robert.","Der Beginn des Anamnesis -Interviews war sehr gut - es ist wichtig, den Namen der Person vor Ihnen zu kennen.","Die Krankenschwester muss den Namen des Patienten kennen. So beginnt jedes Anamnesis -Gespräch damit, nach dem Namen der Person zu fragen.","Hej, jag heter Marite. Jag är din sjuksköterska. Vad heter du?",Vad heter du?,"Hej, jag är Mr. Johnson. Robert Johnson. Ring mig Robert.",Början av Anamnese -intervjun var mycket bra - det är viktigt att veta namnet på personen framför dig.,Sjuksköterskan måste känna till patientens namn. Så varje anames -konversation börjar med att be om personens namn.,"Sveiki, mano vardas yra Maritas. Aš esu tavo slaugytoja. Koks tavo vardas?",Koks tavo vardas?,"Sveiki, aš ponas Johnsonas. Robertas Johnsonas. Vadink mane Robertu.",Anamnezės interviu pradžia buvo labai gera - svarbu žinoti priešais jus esančio asmens vardą.,Slaugytoja turi žinoti paciento vardą. Taigi kiekvienas anamnezės pokalbis prasideda prašant asmens vardo.,"Sveiki, mani sauc Marite. Es esmu jūsu medmāsa. Kā tevi sauc?",Kā tevi sauc?,"Sveiki, es esmu Džonsona kungs. Roberts Džonsons. Sauc mani par Robertu.",Anamnēzes intervijas sākums bija ļoti labs - ir svarīgi zināt priekšā esošās personas vārdu.,Medmāsai jāzina pacienta vārds. Tātad katra anamnēzes saruna sākas ar personas vārdu prasīšanu.
date_of_birth,What is your date of birth? ,What is your date of birth? ,"I was born on August 16, 1981. I am 41. ","Very good, it is important to know how old the patient is in order to additionally check the identity.","In order to verify the identity of the patient, it is important to also ask for the patient's birthday - please do not forget!",0,NeutralLegBehind,,introduction,date_of_birth,1,GermanText,GermanShort,GermanAnswer,"Sehr gut, es ist wichtig zu wissen, wie alt der Patient ist, um zusätzlich die Identität zu überprüfen.","Um die Identität des Patienten zu überprüfen, ist es wichtig, auch nach dem Geburtstag des Patienten zu fragen - bitte nicht vergessen!",SwedishText,SwedishShort,SwedishAnswer,"Mycket bra, det är viktigt att veta hur gammal patienten är för att dessutom kontrollera identiteten.",För att verifiera patientens identitet är det viktigt att också be om patientens födelsedag - glöm inte!,LithuanianText,LithuanianShort,LithuanianAnswer,"Labai gerai, svarbu žinoti, kiek pacientui yra metų, kad būtų galima papildomai patikrinti tapatybę.","Norint patikrinti paciento tapatybę, taip pat svarbu paprašyti paciento gimtadienio - nepamirškite!",LatvianText,LatvianShort,LatvianAnswer,"Ļoti labi, ir svarīgi zināt, cik vecs pacients ir, lai papildus pārbaudītu identitāti.","Lai pārbaudītu pacienta identitāti, ir svarīgi arī lūgt pacienta dzimšanas dienu - lūdzu, neaizmirstiet!"
condition,How are you doing?,How are you doing?,"I feel strange: dizzy and shivering all over.  I can't stand, feel like I was working all day. And...I want to pee all the time.  ","This question is the most important question, as it serves to prepare the diagnosis and, depending on the answer, you can or must act very quickly. ","You forgot to ask the most important question. Unfortunately, without this information you cannot act correctly.",0,NeutralLegBehind2,,general,condition,1,Wie geht es Ihnen?,Wie geht es Ihnen?,"Ich fühle mich seltsam: Schwindelig und zitternd. Ich kann nicht ausstehen, das Gefühl, den ganzen Tag zu arbeiten. Und ... ich möchte die ganze Zeit pinkeln.","Diese Frage ist die wichtigste Frage, da sie die Diagnose vorbereitet und je nach Antwort sehr schnell handeln können oder müssen.","Sie haben vergessen, die wichtigste Frage zu stellen. Leider können Sie ohne diese Informationen nicht richtig handeln.",Hur mår du?,Hur mår du?,"Jag känner mig konstig: yr och skakar överallt. Jag tål inte, känner att jag arbetade hela dagen. Och ... jag vill kissa hela tiden.","Denna fråga är den viktigaste frågan, eftersom den tjänar till att förbereda diagnosen och beroende på svaret kan du eller måste agera mycket snabbt.","Du glömde att ställa den viktigaste frågan. Tyvärr, utan denna information kan du inte agera korrekt.",Kaip tau sekasi?,Kaip tau sekasi?,"Jaučiuosi keista: svaigsta galva ir drebu. Aš negaliu pakęsti, jausti, kad dirbau visą dieną. Ir ... aš noriu visą laiką šlapintis.","Šis klausimas yra svarbiausias klausimas, nes jis padeda paruošti diagnozę ir, atsižvelgiant į atsakymą, galite arba turite veikti labai greitai.","Pamiršote užduoti svarbiausią klausimą. Deja, be šios informacijos negalite elgtis teisingai.",Kā tev iet?,Kā tev iet?,"Es jūtos dīvaini: reibonis un drebuļi visā. Es nevaru izturēt, justies kā visu dienu strādāju. Un ... es gribu visu laiku urinēt.","Šis jautājums ir vissvarīgākais jautājums, jo tas kalpo diagnozes sagatavošanai, un atkarībā no atbildes jūs varat vai ir jārīkojas ļoti ātri.",Jūs aizmirsāt uzdot vissvarīgāko jautājumu. Diemžēl bez šīs informācijas jūs nevarat rīkoties pareizi.
condition_time,How long have you felt like this? ,How long have you felt like this? ,"About 2 hours, perhaps...It started almost right after I took my medicine.","It is very good that you ask - by doing so, you already pay attention to the differential diagnosis and thus support the doctor's diagnosis.","You forgot to ask the most important question. Unfortunately, without this information you cannot act correctly.",0,NeutralLegBehind,condition,general,condition_time,1,Wie lange hast du dich schon so gefühlt?,#REF!,"Ungefähr 2 Stunden, vielleicht ... es begann fast gleich, nachdem ich meine Medizin genommen hatte.","Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Arztdiagnose.","Sie haben vergessen, die wichtigste Frage zu stellen. Leider können Sie ohne diese Informationen nicht richtig handeln.",Hur länge har du känt så här?,#REF!,"Cirka 2 timmar, kanske ... det började nästan direkt efter att jag tog min medicin.",Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos.,"Du glömde att ställa den viktigaste frågan. Tyvärr, utan denna information kan du inte agera korrekt.",Kiek laiko taip jautėtės?,#REF!,"Galbūt apie 2 valandas ... Tai prasidėjo beveik iškart po to, kai aš išgėriau vaistų.","Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę.","Pamiršote užduoti svarbiausią klausimą. Deja, be šios informacijos negalite elgtis teisingai.",Cik ilgi tu esi šāds?,#REF!,"Iespējams, ka apmēram 2 stundas ... tas sākās gandrīz uzreiz pēc tam, kad es lietoju zāles.","Tas ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi.",Jūs aizmirsāt uzdot vissvarīgāko jautājumu. Diemžēl bez šīs informācijas jūs nevarat rīkoties pareizi.
other_complaints,Do you have any other complaints?,Any other complaints?,Yeees...I feel so hungry. And that sweat makes me mad. Can you stop it?!,"It is very good that you ask - by doing so, you already pay attention to the differential diagnosis and thus support the doctor's diagnosis.","You first ask about other complaints before you even record the patient's current condition. Unfortunately, this is not the correct order.",0,NeutralLegBehind3,,general,other_comaplaints,1,GermanText,GermanShort,GermanAnswer,"Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Arztdiagnose.","Sie fragen zuerst nach anderen Beschwerden, bevor Sie den aktuellen Zustand des Patienten überhaupt aufzeichnen. Leider ist dies nicht die richtige Reihenfolge.",SwedishText,SwedishShort,SwedishAnswer,Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos.,Du frågar först om andra klagomål innan du ens registrerar patientens nuvarande tillstånd. Tyvärr är detta inte rätt ordning.,LithuanianText,LithuanianShort,LithuanianAnswer,"Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę.","Pirmiausia klausiate apie kitus skundus, prieš net įrašydami dabartinę paciento būklę. Deja, tai nėra teisinga tvarka.",LatvianText,LatvianShort,LatvianAnswer,"Tas ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi.","Vispirms jautājat par citām sūdzībām, pirms pat reģistrējat pacienta pašreizējo stāvokli. Diemžēl tā nav pareizā kārtība."
chronic_disease,What chronic diseases are you suffering from? ,Chronic diseases?,I have diabetes and blood pressure problems... ,"It is very good that you ask - by doing so, you already pay attention to the differential diagnosis and thus support the doctor's diagnosis. Furthermore, it is important to include the expertise of the patient.",This question is important because it may give you clues about the acute illness. Please do not forget!,0,NeutralThinking,,medical_history,has_diabetes,1,Unter welchen chronischen Krankheiten leiden Sie?,Irgendwelche anderen Beschwerden?,Ich habe Diabetes und Blutdruckprobleme ...,"Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Arztdiagnose. Darüber hinaus ist es wichtig, das Fachwissen des Patienten einzubeziehen.","Diese Frage ist wichtig, da sie Ihnen Hinweise auf die akute Krankheit geben kann. Bitte vergiss nicht!",Vilka kroniska sjukdomar lider du av?,Några andra klagomål?,Jag har diabetes- och blodtrycksproblem ...,Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos. Dessutom är det viktigt att inkludera patientens expertis.,Denna fråga är viktig eftersom den kan ge dig ledtrådar om den akuta sjukdomen. Snälla glöm inte!,Kokios lėtinės ligos kenčia?,Ar yra kitų skundų?,Aš sergu diabetu ir kraujospūdžio problemomis ...,"Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę. Be to, svarbu įtraukti paciento kompetenciją.","Šis klausimas yra svarbus, nes jis gali suteikti jums užuominų apie ūmią ligą. Prašau nepamiršk!",No kādām hroniskām slimībām jūs ciešat?,Vai ir kādas citas sūdzības?,Man ir diabēta un asinsspiediena problēmas ...,"Tas ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi. Turklāt ir svarīgi iekļaut pacienta zināšanas.","Šis jautājums ir svarīgs, jo tas var dot jums norādes par akūto slimību. Lūdzu, neaizmirstiet!"
hospitalization,Have you been to the Emergency room or hospitalised during the past 12 monts?,Have you been hospitalized recently?,"Yeah, because of my blood pressure. It was bad...","For the initial interview with a patient with the symptoms described, it is not a priority to know whether the patient has been under medical treatment in the last 12 months. In order to come to a faster treatment, it is best to omit this question. ",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,medical_history,recently_hospitalized,0,GermanText,GermanShort,GermanAnswer,"Für das erste Interview mit einem Patienten mit den beschriebenen Symptomen ist es keine Priorität zu wissen, ob der Patient in den letzten 12 Monaten medizinisch behandelt wurde. Um zu einer schnelleren Behandlung zu kommen, ist es am besten, diese Frage wegzulassen.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",SwedishText,SwedishShort,SwedishAnswer,För den första intervjun med en patient med de beskrivna symtomen är det inte en prioritering att veta om patienten har varit under medicinsk behandling under de senaste 12 månaderna. För att komma till en snabbare behandling är det bäst att utelämna denna fråga.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,LithuanianText,LithuanianShort,LithuanianAnswer,"Pradiniam pokalbiui su pacientu, kuriam aprašyti simptomai, nėra prioritetas žinoti, ar pacientas gydėsi per pastaruosius 12 mėnesių. Norint greičiau elgtis, geriausia praleisti šį klausimą.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",LatvianText,LatvianShort,LatvianAnswer,"Sākotnējā intervijā ar pacientu ar aprakstītajiem simptomiem nav prioritāte zināt, vai pacients pēdējos 12 mēnešos ir ārstējies. Lai ātrāk ārstētos, vislabāk ir izlaist šo jautājumu.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
surgery,Have you had any surgical procedures in the past few years?,Have you had surgery recently?,"Yeah, I had a surgery on my appendix five years ago.","For the initial consultation with a patient with the symptoms described, it is not a priority to know whether the patient has had surgery in the last 12 months. In order to come to a faster treatment, it is best to omit this question. ",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind4,,medical_history,,0,Haben Sie in den letzten Jahren chirurgische Eingriffe gehabt?,Wurden Sie kürzlich ins Krankenhaus eingeliefert?,"Ja, ich hatte vor fünf Jahren eine Operation in meinem Anhang.",#REF!,#REF!,Har du haft några kirurgiska ingrepp under de senaste åren?,Har du varit på sjukhus nyligen?,"Ja, jag hade en operation på min bilaga för fem år sedan.",#REF!,#REF!,Ar per pastaruosius kelerius metus atlikote kokių nors chirurginių procedūrų?,Ar neseniai buvote paguldytas į ligoninę?,"Taip, man prieš penkerius metus man buvo atlikta operacija.",#REF!,#REF!,Vai jums pēdējos gados ir bijušas kādas ķirurģiskas procedūras?,Vai nesen esat hospitalizēts?,"Jā, man bija operācija par manu pielikumu pirms pieciem gadiem.",#REF!,#REF!
diabetes_type,What type of diabetes do you have?,What type of diabetes?,Type 1,"It is very good that you ask - by doing so, you already pay attention to the differential diagnosis and thus support the doctor's diagnosis. Furthermore, it is important to include the expertise of the patient.",,0,NeutralThinking,,diabetes,diabetes_type,1,GermanText,GermanShort,GermanAnswer,"Für die erste Konsultation mit einem Patienten mit den beschriebenen Symptomen ist es keine Priorität zu wissen, ob der Patient in den letzten 12 Monaten operiert wurde. Um zu einer schnelleren Behandlung zu kommen, ist es am besten, diese Frage wegzulassen.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",SwedishText,SwedishShort,SwedishAnswer,För det första samrådet med en patient med de beskrivna symtomen är det inte en prioritering att veta om patienten har genomgått operation under de senaste 12 månaderna. För att komma till en snabbare behandling är det bäst att utelämna denna fråga.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,LithuanianText,LithuanianShort,LithuanianAnswer,"Pradinėms konsultacijoms su pacientu, kuriam aprašyti simptomai, nėra prioritetas žinoti, ar pacientui buvo atlikta operacija per pastaruosius 12 mėnesių. Norint greičiau elgtis, geriausia praleisti šį klausimą.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",LatvianText,LatvianShort,LatvianAnswer,"Sākotnējai konsultācijai ar pacientu ar aprakstītajiem simptomiem nav prioritāte zināt, vai pacientam ir veikta operācija pēdējos 12 mēnešos. Lai ātrāk ārstētos, vislabāk ir izlaist šo jautājumu.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
time_of_diagnosis,When were you diagnosed with diabetes?,When where you diagnosed?,"Ehh...I don't feel well. Since childhood, I was at the Elementary school. ","For the acute situation, it is not necessary to know how long the patient has had diabetes.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,diabetes_type,diabetes,diabetes_diagnosis_time,0,Wann wurde bei Ihnen Diabetes diagnostiziert?,Welche Art von Diabetes?,Ehh ... ich fühle mich nicht gut. Seit ihrer Kindheit war ich an der Grundschule.,"Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Arztdiagnose. Darüber hinaus ist es wichtig, das Fachwissen des Patienten einzubeziehen.",#VALUE!,När diagnostiserades du med diabetes?,Vilken typ av diabetes?,Ehh ... Jag mår inte bra. Sedan barndomen var jag på grundskolan.,Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos. Dessutom är det viktigt att inkludera patientens expertis.,#VALUE!,Kada jums buvo diagnozuotas diabetas?,Kokio tipo diabetas?,Ehh ... Aš nesijaučiu gerai. Nuo vaikystės mokiausi pradinėje mokykloje.,"Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę. Be to, svarbu įtraukti paciento kompetenciją.",#VALUE!,Kad jums tika diagnosticēts diabēts?,Kāda veida diabēts?,Ehh ... es nejūtos labi. Kopš bērnības es biju pamatskolā.,"Tas ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi. Turklāt ir svarīgi iekļaut pacienta zināšanas.",#VALUE!
